tool,preset,effect_pattern,effect_sigma_mult,noise_model,attacker_threshold_ns,dataset_id,samples_per_class,detected,statistic,p_value,time_ms,samples_used,status,outcome
silent-native,medium,shift,0,ar1-n0.3,,25,5000,false,0.050000,,271,10000,"diff=7.6ns, CI_lower=-3.4ns, Δ=170.0ns",pass
tacet,medium,shift,0,iid,0.4,1,5000,false,0.005208,,387,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 12.03562488629563, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 12.0ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
rtlf-native,medium,shift,0,iid,,20,5000,false,0.090000,,2800,10000,"no significant deciles, max_excess=0.45",pass
tacet,medium,shift,0,iid,100,20,5000,false,0.000000,,278,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,20,5000,false,,,3,1287,"max|t|=1.86, tau=-0.0518, threshold=4.5",pass
timing-tvla,medium,shift,0,iid,,20,5000,false,,,0,10000,"|t|=0.82, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,8,5000,false,,,0,10000,"|t|=1.14, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,8,5000,false,0.620928,,1,10000,"D=0.0182, p=0.3791, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,8,5000,false,0.702157,,0,10000,"A²=1.0092, p=0.2978, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,8,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.3,100,27,5000,false,0.000000,,359,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,27,5000,false,,,3,6464,"max|t|=2.10, tau=0.0262, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,27,5000,false,,,0,10000,"|t|=0.11, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,27,5000,false,0.740566,,1,10000,"D=0.0202, p=0.2594, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.3,,27,5000,false,0.649475,,0,10000,"A²=0.7462, p=0.3505, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,27,5000,false,,,0,10000,no non-overlapping box found,pass
rtlf-native,medium,shift,0,iid,,25,5000,false,0.090000,,2968,10000,"no significant deciles, max_excess=0.25",pass
tacet,medium,shift,0,iid,100,13,5000,false,0.000000,,305,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,13,5000,false,,,3,4240,"max|t|=2.18, tau=-0.0334, threshold=4.5",pass
ad-test,medium,shift,0,ar1-0.3,,7,5000,false,0.637289,,0,10000,"A²=0.6854, p=0.3627, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,7,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,iid,,20,5000,false,0.050000,,231,10000,"diff=2.5ns, CI_lower=-2.6ns, Δ=74.7ns",pass
tacet,medium,shift,0,iid,100,1,5000,false,0.000000,,319,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,1,5000,false,,,3,9762,"max|t|=1.10, tau=-0.0111, threshold=4.5",pass
timing-tvla,medium,shift,0,iid,,1,5000,false,,,0,10000,"|t|=0.90, threshold=4.5",pass
ks-test,medium,shift,0,iid,,1,5000,false,0.455858,,0,10000,"D=0.0160, p=0.5441, alpha=0.05",pass
ad-test,medium,shift,0,iid,,1,5000,false,0.607272,,0,10000,"A²=0.5355, p=0.3927, alpha=0.05",pass
mona,medium,shift,0,iid,,1,5000,false,,,0,10000,no non-overlapping box found,pass
rtlf-native,medium,shift,0,iid,,14,5000,false,0.090000,,2930,10000,"no significant deciles, max_excess=0.38",pass
silent-native,medium,shift,0,ar1-n0.3,,19,5000,false,0.050000,,209,10000,"diff=1.3ns, CI_lower=-11.6ns, Δ=169.0ns",pass
tacet,medium,shift,0,ar1-n0.3,0.4,26,5000,false,0.166667,,496,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.16666666666666666, samples_collected: 5000 }",inconclusive
tacet,medium,shift,0,iid,100,0,5000,false,0.000000,,294,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,0,5000,false,,,3,8459,"max|t|=1.65, tau=0.0179, threshold=4.5",pass
timing-tvla,medium,shift,0,iid,,0,5000,false,,,0,10000,"|t|=1.40, threshold=4.5",pass
ks-test,medium,shift,0,iid,,0,5000,false,0.760781,,0,10000,"D=0.0206, p=0.2392, alpha=0.05",pass
ad-test,medium,shift,0,iid,,0,5000,false,0.768160,,0,10000,"A²=1.3045, p=0.2318, alpha=0.05",pass
mona,medium,shift,0,iid,,0,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,iid,0.4,21,5000,false,0.000000,,378,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 13.407574176905262, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 13.4ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
silent-native,medium,shift,0,ar1-n0.3,,29,5000,false,0.050000,,213,10000,"diff=1.3ns, CI_lower=-11.7ns, Δ=170.0ns",pass
tacet,medium,shift,0,ar1-n0.3,100,26,5000,false,0.000000,,334,5000,Pass (P=0.0%),pass
rtlf-native,medium,shift,0,ar1-n0.6,,21,5000,false,0.090000,,3107,10000,"no significant deciles, max_excess=0.96",pass
tacet,medium,shift,0,iid,0.4,0,5000,false,0.005208,,328,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 11.913230893101646, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 11.9ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,iid,100,21,5000,false,0.000000,,359,5000,Pass (P=0.0%),pass
ad-test,medium,shift,0,ar1-n0.3,,28,5000,false,0.759713,,0,10000,"A²=1.2777, p=0.2403, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.3,,28,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-0.3,100,7,5000,false,0.000000,,342,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-0.3,,7,5000,false,,,3,1291,"max|t|=2.37, tau=-0.0658, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,7,5000,false,,,0,10000,"|t|=0.75, threshold=4.5",pass
silent-native,medium,shift,0,ar1-n0.6,,21,5000,false,0.050000,,181,10000,"diff=2.8ns, CI_lower=-9.3ns, Δ=170.0ns",pass
ks-test,medium,shift,0,ar1-0.3,,7,5000,false,0.355981,,1,10000,"D=0.0148, p=0.6440, alpha=0.05",pass
rtlf-native,medium,shift,0,ar1-n0.3,,29,5000,false,0.090000,,3094,10000,"no significant deciles, max_excess=0.28",pass
tacet,medium,shift,0,iid,0.4,2,5000,false,0.057292,,308,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.057291666666666664, samples_collected: 5000 }",inconclusive
tacet,medium,shift,0,ar1-0.3,100,9,5000,false,0.000000,,294,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-0.3,,9,5000,false,,,4,4996,"max|t|=1.47, tau=0.0208, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,9,5000,false,,,0,10000,"|t|=0.38, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,9,5000,false,0.389640,,1,10000,"D=0.0152, p=0.6104, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,9,5000,false,0.605722,,0,10000,"A²=0.5278, p=0.3943, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,9,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-n0.6,0.4,22,5000,false,0.005208,,322,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 30.619425672501613, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 30.6ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.3,100,28,5000,false,0.000000,,375,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.3,,28,5000,false,,,3,5939,"max|t|=2.53, tau=-0.0328, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.3,,28,5000,false,,,0,10000,"|t|=0.00, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.3,,28,5000,false,0.797637,,1,10000,"D=0.0214, p=0.2024, alpha=0.05",pass
dudect,medium,shift,0,ar1-0.3,,5,5000,false,,,3,8457,"max|t|=2.21, tau=0.0240, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,5,5000,false,,,0,10000,"|t|=1.14, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,5,5000,false,0.935371,,1,10000,"D=0.0262, p=0.0646, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,5,5000,false,0.856037,,0,10000,"A²=1.6607, p=0.1440, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,5,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,iid,100,2,5000,false,0.000000,,327,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,iid,,2,5000,false,,,3,7658,"max|t|=2.65, tau=-0.0303, threshold=4.5",pass
timing-tvla,medium,shift,0,iid,,2,5000,false,,,0,10000,"|t|=1.56, threshold=4.5",pass
tacet,medium,shift,0,ar1-n0.6,100,22,5000,false,0.000000,,309,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,22,5000,false,,,15,8660,"max|t|=2.05, tau=-0.0220, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-n0.6,,22,5000,false,,,0,10000,"|t|=0.52, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,22,5000,false,0.864443,,4,10000,"D=0.0232, p=0.1356, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,22,5000,false,0.798869,,0,10000,"A²=1.4107, p=0.2011, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,22,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-n0.3,,27,5000,false,0.050000,,235,10000,"diff=0.8ns, CI_lower=-11.6ns, Δ=172.2ns",pass
rtlf-native,medium,shift,0,ar1-0.3,,3,5000,false,0.090000,,3130,10000,"no significant deciles, max_excess=0.74",pass
rtlf-native,medium,shift,0,ar1-0.3,,6,5000,false,0.090000,,3011,10000,"no significant deciles, max_excess=0.58",pass
tacet,medium,shift,0,ar1-n0.3,0.4,28,5000,false,0.015625,,322,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 28.223616216733596, leak_probability_at_eff: 0.015625, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 28.2ns; P=1.6% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
timing-tvla,medium,shift,0,ar1-n0.6,,23,5000,false,,,0,10000,"|t|=0.04, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,23,5000,false,0.042814,,1,10000,"D=0.0102, p=0.9572, alpha=0.05",pass
ad-test,medium,shift,0,ar1-n0.6,,23,5000,false,0.539124,,0,10000,"A²=0.1953, p=0.4609, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,23,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-0.3,,3,5000,false,0.050000,,251,10000,"diff=12.6ns, CI_lower=0.8ns, Δ=170.8ns",pass
silent-native,medium,shift,0,ar1-0.3,,6,5000,false,0.050000,,224,10000,"diff=7.3ns, CI_lower=-3.8ns, Δ=168.2ns",pass
tacet,medium,shift,0,ar1-0.3,0.4,4,5000,false,0.010417,,338,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 35.48158530715791, leak_probability_at_eff: 0.010416666666666666, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 35.5ns; P=1.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-0.3,0.4,7,5000,false,0.026042,,357,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 31.160834022958603, leak_probability_at_eff: 0.026041666666666668, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 31.2ns; P=2.6% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
rtlf-native,medium,shift,0,ar1-0.3,,2,5000,false,0.090000,,3011,10000,"no significant deciles, max_excess=0.75",pass
tacet,medium,shift,0,ar1-0.3,100,4,5000,false,0.000000,,303,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-0.3,,4,5000,false,,,3,8659,"max|t|=1.55, tau=0.0166, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,4,5000,false,,,0,10000,"|t|=0.74, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,4,5000,false,0.372833,,1,10000,"D=0.0150, p=0.6272, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,4,5000,false,0.667870,,0,10000,"A²=0.8381, p=0.3321, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,4,5000,false,,,0,10000,no non-overlapping box found,pass
silent-native,medium,shift,0,ar1-0.3,,9,5000,false,0.050000,,214,10000,"diff=2.6ns, CI_lower=-9.5ns, Δ=172.0ns",pass
rtlf-native,medium,shift,0,ar1-n0.3,,19,5000,false,0.090000,,3068,10000,"no significant deciles, max_excess=0.45",pass
silent-native,medium,shift,0,ar1-0.3,,2,5000,false,0.050000,,213,10000,"diff=6.8ns, CI_lower=-4.6ns, Δ=169.7ns",pass
silent-native,medium,shift,0,ar1-n0.6,,22,5000,false,0.050000,,236,10000,"diff=3.6ns, CI_lower=-7.2ns, Δ=172.4ns",pass
rtlf-native,medium,shift,0,ar1-n0.3,,27,5000,false,0.090000,,3075,10000,"no significant deciles, max_excess=0.35",pass
rtlf-native,medium,shift,0,ar1-0.3,,8,5000,false,0.090000,,3146,10000,"no significant deciles, max_excess=0.68",pass
rtlf-native,medium,shift,0,ar1-0.3,,7,5000,false,0.090000,,3001,10000,"no significant deciles, max_excess=0.61",pass
tacet,medium,shift,0,ar1-n0.6,100,23,5000,false,0.000000,,332,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-n0.6,,23,5000,false,,,3,2926,"max|t|=0.81, tau=0.0149, threshold=4.5",pass
rtlf-native,medium,shift,0,iid,,1,5000,false,0.090000,,2968,10000,"no significant deciles, max_excess=0.45",pass
dudect,medium,shift,0,ar1-n0.3,,29,5000,false,,,3,670,"max|t|=1.71, tau=-0.0661, threshold=4.5",pass
silent-native,medium,shift,0,ar1-n0.3,,28,5000,false,0.050000,,239,10000,"diff=0.0ns, CI_lower=-13.1ns, Δ=172.2ns",pass
tacet,medium,shift,0,ar1-0.3,0.4,3,5000,false,0.072917,,372,5000,"Inconclusive: SampleBudgetExceeded { current_probability: 0.07291666666666667, samples_collected: 5000 }",inconclusive
silent-native,medium,shift,0,ar1-0.3,,8,5000,false,0.050000,,233,10000,"diff=7.7ns, CI_lower=-3.6ns, Δ=168.9ns",pass
dudect,medium,shift,0,ar1-0.3,,3,5000,false,,,5,9989,"max|t|=2.07, tau=-0.0207, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,3,5000,false,,,0,10000,"|t|=1.84, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,3,5000,false,0.806130,,1,10000,"D=0.0216, p=0.1939, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,3,5000,false,0.930415,,0,10000,"A²=2.2256, p=0.0696, alpha=0.05",pass
silent-native,medium,shift,0,ar1-0.3,,7,5000,false,0.050000,,260,10000,"diff=5.1ns, CI_lower=-6.0ns, Δ=169.9ns",pass
silent-native,medium,shift,0,iid,,1,5000,false,0.050000,,218,10000,"diff=2.7ns, CI_lower=-2.1ns, Δ=74.7ns",pass
rtlf-native,medium,shift,0,iid,,0,5000,false,0.090000,,3011,10000,"no significant deciles, max_excess=0.80",pass
timing-tvla,medium,shift,0,ar1-0.3,,6,5000,false,,,0,10000,"|t|=1.09, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,6,5000,false,0.579071,,4,10000,"D=0.0176, p=0.4209, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,6,5000,false,0.663042,,0,10000,"A²=0.8140, p=0.3370, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,6,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0,ar1-0.3,0.4,9,5000,false,0.031250,,319,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 30.62946653411247, leak_probability_at_eff: 0.03125, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 30.6ns; P=3.1% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
dudect,medium,shift,0,ar1-0.3,,8,5000,false,,,6,6205,"max|t|=2.28, tau=0.0290, threshold=4.5",pass
tacet,medium,shift,0,ar1-n0.3,100,29,5000,false,0.000000,,352,5000,Pass (P=0.0%),pass
tacet,medium,shift,0,ar1-n0.3,0.4,29,5000,false,0.000000,,352,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 25.575150293567656, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 25.6ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-0.3,0.4,6,5000,false,0.031250,,321,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 30.907675868761746, leak_probability_at_eff: 0.03125, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 30.9ns; P=3.1% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
ad-test,medium,shift,0,ar1-n0.6,,24,5000,false,0.551347,,0,10000,"A²=0.2563, p=0.4487, alpha=0.05",pass
mona,medium,shift,0,ar1-n0.6,,24,5000,false,,,0,10000,no non-overlapping box found,pass
dudect,medium,shift,0,ar1-0.3,,6,5000,false,,,4,1289,"max|t|=1.41, tau=-0.0392, threshold=4.5",pass
tacet,medium,shift,0,ar1-0.3,0.4,5,5000,false,0.005208,,342,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 32.13842683453968, leak_probability_at_eff: 0.005208333333333333, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 32.1ns; P=0.5% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
timing-tvla,medium,shift,0,ar1-n0.6,,24,5000,false,,,0,10000,"|t|=0.05, threshold=4.5",pass
ks-test,medium,shift,0,ar1-n0.6,,24,5000,false,0.077183,,1,10000,"D=0.0110, p=0.9228, alpha=0.05",pass
silent-native,medium,shift,0,ar1-0.3,,5,5000,false,0.050000,,234,10000,"diff=7.7ns, CI_lower=-3.2ns, Δ=169.7ns",pass
dudect,medium,shift,0,ar1-n0.6,,24,5000,false,,,6,4634,"max|t|=1.48, tau=-0.0218, threshold=4.5",pass
tacet,medium,shift,0,ar1-n0.6,0.4,23,5000,false,0.000000,,888,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 26.957515546773084, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 27.0ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-n0.6,100,24,5000,false,0.000000,,272,5000,Pass (P=0.0%),pass
tacet,medium,shift,0,ar1-n0.6,0.4,24,5000,false,0.000000,,187,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 24.549556171312567, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 24.5ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
silent-native,medium,shift,0,ar1-n0.6,,24,5000,false,0.050000,,184,10000,"diff=0.4ns, CI_lower=-12.1ns, Δ=166.1ns",pass
rtlf-native,medium,shift,0,ar1-n0.3,,28,5000,false,0.090000,,3108,10000,"no significant deciles, max_excess=0.77",pass
tacet,medium,shift,0,ar1-0.3,100,5,5000,false,0.000000,,416,5000,Pass (P=0.0%),pass
silent-native,medium,shift,0,ar1-n0.6,,23,5000,false,0.050000,,268,10000,"diff=0.3ns, CI_lower=-12.5ns, Δ=168.9ns",pass
tacet,medium,shift,0,ar1-0.3,100,8,5000,false,0.000000,,549,5000,Pass (P=0.0%),pass
tacet,medium,shift,0,ar1-0.3,100,3,5000,false,0.000000,,679,5000,Pass (P=0.0%),pass
tacet,medium,shift,0,ar1-0.3,100,6,5000,false,0.000000,,328,5000,Pass (P=0.0%),pass
rtlf-native,medium,shift,0,ar1-0.3,,9,5000,false,0.090000,,2933,10000,"no significant deciles, max_excess=0.52",pass
rtlf-native,medium,shift,0,ar1-0.3,,5,5000,false,0.090000,,2943,10000,"no significant deciles, max_excess=0.95",pass
rtlf-native,medium,shift,0,ar1-n0.6,,22,5000,false,0.090000,,2866,10000,"no significant deciles, max_excess=0.82",pass
rtlf-native,medium,shift,0,ar1-n0.6,,23,5000,false,0.090000,,2748,10000,"no significant deciles, max_excess=0.34",pass
rtlf-native,medium,shift,0,ar1-0.3,,4,5000,false,0.090000,,2553,10000,"no significant deciles, max_excess=0.52",pass
silent-native,medium,shift,0,ar1-0.3,,4,5000,false,0.050000,,164,10000,"diff=5.1ns, CI_lower=-6.9ns, Δ=170.5ns",pass
rtlf-native,medium,shift,0,ar1-n0.6,,24,5000,false,0.090000,,2301,10000,"no significant deciles, max_excess=0.24",pass
tacet,medium,shift,0,ar1-0.3,0.4,8,5000,false,0.000000,,2601,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 32.07903540675535, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 32.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
mona,medium,shift,0,ar1-0.3,,28,5000,false,,,0,10000,no non-overlapping box found,pass
mona,medium,shift,0,ar1-0.6,,23,5000,false,,,0,10000,no non-overlapping box found,pass
ad-test,medium,shift,0.2,ar1-n0.6,,15,5000,true,0.999643,,0,10000,"A²=7.8622, p=0.0004, alpha=0.05",fail
mona,medium,shift,0.2,ar1-n0.6,,18,5000,false,,,0,10000,no non-overlapping box found,pass
mona,medium,shift,0.2,ar1-n0.6,,15,5000,false,,,0,10000,no non-overlapping box found,pass
ad-test,medium,shift,0,ar1-0.3,,25,5000,true,0.962531,,0,10000,"A²=2.7328, p=0.0375, alpha=0.05",fail
mona,medium,shift,0,ar1-0.3,,25,5000,false,,,0,10000,no non-overlapping box found,pass
ks-test,medium,shift,0,ar1-0.3,,22,5000,false,0.549745,,1,10000,"D=0.0172, p=0.4503, alpha=0.05",pass
ks-test,medium,shift,0,ar1-0.6,,17,5000,true,0.995309,,1,10000,"D=0.0348, p=0.0047, alpha=0.05",fail
ad-test,medium,shift,0,ar1-0.3,,22,5000,false,0.722382,,0,10000,"A²=1.1102, p=0.2776, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.6,,17,5000,true,0.999296,,0,10000,"A²=6.5031, p=0.0007, alpha=0.05",fail
mona,medium,shift,0,ar1-0.3,,22,5000,false,,,0,10000,no non-overlapping box found,pass
mona,medium,shift,0,ar1-0.6,,17,5000,false,,,0,10000,no non-overlapping box found,pass
ks-test,medium,shift,0.2,ar1-n0.6,,12,5000,true,0.999965,,3,10000,"D=0.0468, p=0.0000, alpha=0.05",fail
ad-test,medium,shift,0.2,ar1-n0.6,,12,5000,true,0.999881,,0,10000,"A²=10.0653, p=0.0001, alpha=0.05",fail
mona,medium,shift,0.2,ar1-n0.6,,12,5000,false,,,0,10000,no non-overlapping box found,pass
dudect,medium,shift,0,ar1-0.3,,16,5000,false,,,3,2921,"max|t|=1.90, tau=0.0351, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.3,,16,5000,false,,,0,10000,"|t|=1.58, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.3,,16,5000,false,0.339114,,1,10000,"D=0.0146, p=0.6609, alpha=0.05",pass
ad-test,medium,shift,0,ar1-0.3,,16,5000,false,0.748798,,0,10000,"A²=1.2421, p=0.2512, alpha=0.05",pass
mona,medium,shift,0,ar1-0.3,,16,5000,false,,,0,10000,no non-overlapping box found,pass
tacet,medium,shift,0.2,ar1-n0.6,0.4,25,5000,true,0.989583,,307,5000,"Fail (P=99.0%, Http2Multiplexing)",fail
tacet,medium,shift,0,ar1-0.3,0.4,24,5000,false,0.000000,,308,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 31.12657850961696, leak_probability_at_eff: 0.0, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 31.1ns; P=0.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-0.6,0.4,5,5000,false,0.010417,,321,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 41.38461683248544, leak_probability_at_eff: 0.010416666666666666, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 41.4ns; P=1.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0.2,ar1-n0.6,0.4,0,5000,true,0.968750,,324,5000,"Fail (P=96.9%, Http2Multiplexing)",fail
tacet,medium,shift,0,ar1-0.3,0.4,10,5000,false,0.010417,,320,5000,"Inconclusive: ThresholdElevated { theta_user: 0.4, theta_eff: 30.962273644593015, leak_probability_at_eff: 0.010416666666666666, meets_pass_criterion_at_eff: true, achievable_at_max: false, message: ""Threshold elevated from 0ns to 31.0ns; P=1.0% at elevated threshold"", guidance: ""Use more samples or a higher-resolution timer to achieve the requested threshold."" }",inconclusive
tacet,medium,shift,0,ar1-0.6,100,5,5000,false,0.000000,,266,5000,Pass (P=0.0%),pass
dudect,medium,shift,0,ar1-0.6,,5,5000,false,,,3,9328,"max|t|=3.16, tau=0.0327, threshold=4.5",pass
timing-tvla,medium,shift,0,ar1-0.6,,5,5000,false,,,0,10000,"|t|=1.79, threshold=4.5",pass
ks-test,medium,shift,0,ar1-0.6,,5,5000,true,0.982579,,1,10000,"D=0.0308, p=0.0174, alpha=0.05",fail
ad-test,medium,shift,0,ar1-0.6,,5,5000,true,0.979604,,0,10000,"A²=3.2450, p=0.0204, alpha=0.05",fail
mona,medium,shift,0,ar1-0.6,,5,5000,false,,,0,10000,no non-overlapping box found,pass
